Languages, Number or files
JavaScript, 8485092
HTML, 7956794
Objective-C, 7682583
Java, 4519806
C++, 3287044
Go, 3060709
C, 2627788
Smalltalk, 1908980
Python, 1772231
PHP, 1634622
CSS, 1014738
TypeScript, 772009
Ruby, 729305
M, 560122
Scala, 521468
LLVM, 474758
Shell, 440301
Swift, 318061
Roff, 234319
Kotlin, 229966
Smali, 188165
SQL, 178399
Pascal, 150524
Perl6, 134864
Lua, 98420
Objective-C++, 95493
Makefile, 88408
Batchfile, 86280
Vue, 83482
Groovy, 77537
GLSL, 74224
Rust, 70952
JupyterNotebook, 61166
Assembly, 61084
D, 60455
Elixir, 60268
Vimscript, 55047
Dart, 51820
PowerShell, 50549
CoffeeScript, 50537
Fortran, 49694
Haskell, 48953
ActionScript, 47228
CMake, 45108
QMake, 44145
Ada, 41350
Haxe, 41324
TeX, 40863
Nix, 36457
EmacsLisp, 35815
OCaml, 35797
Clojure, 34833
M4, 34614
VisualBasic, 33823
Smarty, 32731
Coq, 32051
XSLT, 31048
Scheme, 30272
CommonLisp, 30269
F#, 29428
Erlang, 27370
Tcl, 21652
PostScript, 20603
HCL, 19060
ASP, 15152
Gherkin, 15143
QML, 13562
Racket, 11277
SMT, 7837
R, 7757
Yacc, 6569
Lex, 6566
Perl, 6438
Julia, 5386
RPC, 4517
WebAssembly, 4432
OpenEdgeABL, 4048
PLSQL, 3959
Objective-J, 3386
1CEnterprise, 3272
SAS, 3105
SQF, 2828
Brainfuck, 2687
F*, 2533
AppleScript, 2480
SystemVerilog, 2446
Max, 2240
PureScript, 2237
Dockerfile, 1416
Eagle, 1169
MoonScript, 1122
Eiffel, 958
RAML, 842
C#, 430
RMarkdown, 190
Verilog, 139
PLpgSQL, 63
Mercury, 44
DM, 37
Genshi, 25
SQLPL, 15
TSQL, 0
Jasmin, 0
