Languages, Number or files
Objective-C, 4120165
JavaScript, 3069900
HTML, 2903142
Java, 1632460
C++, 1459576
C, 1060971
Go, 820089
Python, 536663
Smalltalk, 415507
CSS, 405058
PHP, 382773
LLVM, 248849
Ruby, 232821
TypeScript, 160821
M, 130347
Shell, 112940
Swift, 104592
Kotlin, 84978
Scala, 78379
Roff, 56947
Objective-C++, 52692
Perl6, 43430
SQL, 41535
Ada, 36147
Groovy, 32224
Smali, 30469
Makefile, 28053
D, 26747
Lua, 24731
GLSL, 23661
Rust, 22721
Haxe, 21952
Batchfile, 21632
Assembly, 21269
Elixir, 20475
Coq, 20361
Dart, 19700
Vue, 18471
Nix, 17820
ActionScript, 16468
VisualBasic, 16417
Pascal, 14851
CMake, 13615
JupyterNotebook, 13369
Vimscript, 13281
M4, 12776
EmacsLisp, 12425
CoffeeScript, 11830
XSLT, 11665
Fortran, 11293
OCaml, 10824
Haskell, 10760
Clojure, 10041
CommonLisp, 10005
F#, 9490
QMake, 9296
PostScript, 9225
Tcl, 9188
Smarty, 9010
PowerShell, 8752
SMT, 7214
TeX, 7098
Scheme, 6165
Racket, 6162
Erlang, 5735
HCL, 4800
Lex, 3640
ASP, 3537
Gherkin, 3348
Perl, 2552
R, 2183
Objective-J, 2148
QML, 1952
RPC, 1858
Yacc, 1448
AppleScript, 987
1CEnterprise, 970
Max, 888
WebAssembly, 833
OpenEdgeABL, 829
Julia, 757
Eiffel, 682
PLSQL, 657
SystemVerilog, 529
F*, 506
Brainfuck, 504
SQF, 380
Dockerfile, 259
PureScript, 250
Eagle, 230
SAS, 169
RAML, 139
RMarkdown, 75
Verilog, 53
C#, 51
MoonScript, 45
DM, 33
PLpgSQL, 29
Mercury, 20
SQLPL, 10
Genshi, 6
TSQL, 0
Jasmin, 0
