Language/Extension, Number or files
JavaScript/.js, 8468671
Objective-C/.h, 7682583
HTML/.html, 7682257
Java/.java, 4519806
Go/.go, 3060709
C/.c, 2627572
Smalltalk/.cs, 1755319
Python/.py, 1745347
PHP/.php, 1545123
C++/.cpp, 1488083
CSS/.css, 1014738
C++/.hpp, 854860
C++/.cc, 799848
TypeScript/.ts, 772009
Ruby/.rb, 686455
M/.m, 559996
Scala/.scala, 493601
LLVM/.ll, 474758
Shell/.sh, 369861
Swift/.swift, 318061
Kotlin/.kt, 225580
Smali/.smali, 188165
Smalltalk/.st, 153661
HTML/.htm, 140337
SQL/.sql, 116256
Pascal/.pas, 110754
Lua/.lua, 96298
Objective-C++/.mm, 95493
PHP/.phpt, 85596
Vue/.vue, 83482
Groovy/.groovy, 77363
Makefile/.mk, 72945
Rust/.rs, 70952
HTML/.xht, 70677
Batchfile/.bat, 68479
HTML/.xhtml, 63523
Assembly/.asm, 60543
D/.d, 60304
Roff/.3, 59351
SQL/.inc, 57725
Shell/.bash, 57059
Dart/.dart, 51820
Roff/.1, 49266
Haskell/.hs, 48674
CoffeeScript/.coffee, 47913
Jupyter Notebook/.ipynb, 47797
ActionScript/.as, 47228
PowerShell/.ps1, 45804
CMake/.cmake, 45108
C++/.cxx, 44167
Vim script/.vim, 41695
Haxe/.hx, 41324
Elixir/.ex, 40158
QMake/.pro, 40155
Roff/.3pm, 38451
Fortran/.f, 37162
Perl 6/.pl, 36672
Nix/.nix, 36457
M4/.m4, 34614
TeX/.tex, 33514
Perl 6/.pm, 33428
Smarty/.tpl, 32731
Coq/.v, 32033
XSLT/.xsl, 28085
Roff/.man, 25645
Clojure/.clj, 25567
Pascal/.pp, 24708
OCaml/.ml, 24499
Erlang/.erl, 24440
Scala/.sbt, 24022
GLSL/.frag, 23975
F#/.fs, 23952
Emacs Lisp/.el, 23378
Perl6/.pl, 22648
C++/.inl, 22327
Tcl/.tcl, 21516
Perl 6/.t, 21041
Elixir/.exs, 20110
C++/.hxx, 19849
Batchfile/.cmd, 17801
C++/.hh, 16969
GLSL/.glsl, 16545
PostScript/.eps, 16258
C++/.ino, 15653
Gherkin/.feature, 15143
Ada/.adb, 14670
Ada/.ads, 14634
HCL/.tf, 14183
GLSL/.shader, 13860
GLSL/.vert, 13687
Perl6/.pm, 13435
JupyterNotebook/.ipynb, 13369
Ruby/.spec, 13170
Roff/.2, 13036
Vimscript/.vim, 12931
QML/.qml, 12553
C++/.ipp, 12474
EmacsLisp/.el, 12414
Ada/.ada, 12046
Fortran/.f90, 11914
Python/.gyp, 10996
OCaml/.mli, 10705
Scheme/.sch, 10308
VisualBasic/.vb, 10155
Roff/.8, 9900
Common Lisp/.lisp, 9822
Racket/.rkt, 9630
Scheme/.scm, 9400
Common Lisp/.cl, 9072
Makefile/.mak, 8998
Ruby/.podspec, 8275
Ruby/.gemspec, 8154
Visual Basic/.vb, 7913
Pascal/.dfm, 7658
Python/.pyi, 7645
Scheme/.sls, 7566
SMT/.smt2, 7531
R/.r, 7417
C++/.re, 7257
ASP/.aspx, 6995
Roff/.4, 6751
CommonLisp/.cl, 6745
Roff/.5, 6712
Makefile/.make, 6465
Shell/.ksh, 6365
Pascal/.dpr, 6244
Perl6/.t, 6185
Lex/.l, 6177
Visual Basic/.cls, 5846
Roff/.3x, 5810
Roff/.n, 5775
Clojure/.cljs, 5432
Julia/.jl, 5386
Ruby/.rake, 5113
VisualBasic/.bas, 4624
RPC/.x, 4517
HCL/.hcl, 4470
F#/.fsx, 4440
Ruby/.ru, 4389
Kotlin/.kts, 4386
Yacc/.y, 4204
PostScript/.ps, 4179
QMake/.pri, 3990
JavaScript/.mjs, 3957
Scala/.sc, 3839
JavaScript/.jsm, 3713
Python/.bzl, 3670
C++/.tcc, 3634
Perl/.cgi, 3421
Shell/.bats, 3389
Objective-J/.j, 3362
PHP/.ctp, 3295
Roff/.7, 3277
JavaScript/.gs, 3269
JavaScript/.es6, 3133
SAS/.sas, 3105
OpenEdge ABL/.p, 3102
PowerShell/.psm1, 3045
Shell/.zsh, 2997
XSLT/.xslt, 2963
ASP/.ascx, 2921
TeX/.sty, 2899
CommonLisp/.lisp, 2875
SQF/.sqf, 2826
Roff/.6, 2791
F*/.fst, 2533
