Language/Extension, Number or files
JavaScript/.js, 5401580
HTML/.html, 4943266
Objective-C/.h, 3562418
Java/.java, 2887346
Go/.go, 2240620
C/.c, 1566658
Smalltalk/.cs, 1353243
Python/.py, 1214409
PHP/.php, 1181210
C++/.cpp, 956747
TypeScript/.ts, 611188
CSS/.css, 609680
C++/.hpp, 567622
Ruby/.rb, 463898
M/.m, 429775
Scala/.scala, 418391
Shell/.sh, 265726
LLVM/.ll, 225909
Swift/.swift, 213469
C++/.cc, 211667
Smali/.smali, 157696
Kotlin/.kt, 142680
Smalltalk/.st, 140230
Pascal/.pas, 103338
SQL/.sql, 88548
HTML/.htm, 72512
Lua/.lua, 71726
PHP/.phpt, 67247
Vue/.vue, 65011
Shell/.bash, 54789
Batchfile/.bat, 51325
Makefile/.mk, 48944
Rust/.rs, 48231
Jupyter Notebook/.ipynb, 47797
SQL/.inc, 45219
Groovy/.groovy, 45154
Roff/.3, 43442
Objective-C++/.mm, 42801
Vim script/.vim, 41695
Assembly/.asm, 39302
Roff/.3pm, 38283
Haskell/.hs, 37971
PowerShell/.ps1, 37556
Perl 6/.pl, 36672
CoffeeScript/.coffee, 36558
Roff/.1, 34389
D/.d, 33658
Perl 6/.pm, 33428
Dart/.dart, 32120
Fortran/.f, 31814
QMake/.pro, 31567
CMake/.cmake, 31493
ActionScript/.as, 30760
TeX/.tex, 28045
Elixir/.ex, 25639
C++/.cxx, 24612
Smarty/.tpl, 23721
Emacs Lisp/.el, 23378
HTML/.xhtml, 22586
Scala/.sbt, 22113
Roff/.man, 21991
M4/.m4, 21838
Perl 6/.t, 21041
Erlang/.erl, 19402
Haxe/.hx, 19372
Pascal/.pp, 19077
Nix/.nix, 18637
Clojure/.clj, 18198
XSLT/.xsl, 17674
OCaml/.ml, 16702
F#/.fs, 16092
HTML/.xht, 15288
C++/.inl, 14907
GLSL/.frag, 14907
Elixir/.exs, 14154
Batchfile/.cmd, 13323
GLSL/.glsl, 12649
C++/.ino, 12516
Tcl/.tcl, 12373
C++/.hh, 11999
Gherkin/.feature, 11795
Coq/.v, 11690
HCL/.tf, 10827
QML/.qml, 10605
GLSL/.shader, 10333
Ruby/.spec, 10086
Common Lisp/.lisp, 9822
Scheme/.sch, 9474
PostScript/.eps, 9416
GLSL/.vert, 9310
Common Lisp/.cl, 9072
C++/.hxx, 8978
Python/.gyp, 8203
Visual Basic/.vb, 7913
OCaml/.mli, 7824
C++/.ipp, 7693
Roff/.2, 7319
Roff/.8, 7012
Pascal/.dfm, 6809
Ruby/.podspec, 6614
Python/.pyi, 6605
Scheme/.sls, 6502
Scheme/.scm, 6453
Ruby/.gemspec, 6445
C++/.re, 6151
Fortran/.f90, 6110
Makefile/.mak, 6090
ASP/.aspx, 5863
Visual Basic/.cls, 5846
Pascal/.dpr, 5706
Roff/.3x, 5478
R/.r, 5441
Makefile/.make, 5321
Roff/.n, 4856
Julia/.jl, 4629
Clojure/.cljs, 4392
Racket/.rkt, 4211
Roff/.5, 4027
Ruby/.rake, 3633
JavaScript/.mjs, 3479
Roff/.4, 3442
QMake/.pri, 3282
F#/.fsx, 3270
HCL/.hcl, 3113
JavaScript/.gs, 3105
OpenEdge ABL/.p, 3102
Ruby/.ru, 3090
SAS/.sas, 2936
PHP/.ctp, 2910
Yacc/.y, 2816
C++/.tcc, 2746
PowerShell/.psm1, 2738
Lex/.l, 2702
Ada/.adb, 2698
JavaScript/.jsm, 2691
RPC/.x, 2659
Scala/.sc, 2579
Python/.bzl, 2541
Ada/.ads, 2480
Shell/.zsh, 2453
SQF/.sqf, 2446
TeX/.sty, 2389
Shell/.bats, 2358
JavaScript/.es6, 2326
Kotlin/.kts, 2308
Yacc/.yy, 2293
1C Enterprise/.bsl, 2217
PLSQL/.pls, 2152
ASP/.ascx, 2065
F*/.fst, 2027
Perl/.al, 2006
PureScript/.purs, 1987
Roff/.7, 1941
Brainfuck/.b, 1865
PostScript/.ps, 1852
WebAssembly/.wat, 1845
Python/.gypi, 1824
WebAssembly/.wast, 1754
XSLT/.xslt, 1709
ASP/.asp, 1688
Lua/.nse, 1633
Shell/.ksh, 1570
Visual Basic/.bas, 1559
SystemVerilog/.sv, 1526
Roff/.6, 1514
PowerShell/.psd1, 1503
Ruby/.jbuilder, 1490
TeX/.toc, 1411
ASP/.asax, 1399
Roff/.9, 1380
Perl/.cgi, 1331
TeX/.dtx, 1312
Erlang/.hrl, 1305
Scheme/.ss, 1253
GLSL/.fsh, 1225
Objective-J/.j, 1221
Clojure/.boot, 1186
SQL/.tab, 1179
Dockerfile/.dockerfile, 1157
MoonScript/.moon, 1077
QML/.qbs, 1005
Visual Basic/.frm, 987
AppleScript/.scpt, 977
Clojure/.cljc, 949
Eagle/.brd, 939
JavaScript/.pac, 892
CoffeeScript/.iced, 806
C++/.tpp, 804
Roff/.ms, 797
Visual Basic/.vbs, 774
Python/.rpy, 768
Common Lisp/.asd, 764
Erlang/.es, 748
CoffeeScript/.cjsx, 745
Pascal/.lpr, 738
SQL/.ddl, 734
GLSL/.vsh, 714
RAML/.raml, 703
Racket/.scrbl, 677
Roff/.1m, 675
Max/.maxpat, 630
C++/.c++, 626
F#/.fsi, 576
Common Lisp/.lsp, 568
CoffeeScript/.cake, 562
Ruby/.builder, 537
AppleScript/.applescript, 516
Assembly/.nasm, 511
SQL/.cql, 509
SQL/.prc, 480
PLSQL/.pkb, 479
SMT/.smt2, 444
TeX/.aux, 434
Python/.pyde, 428
GLSL/.geom, 415
ASP/.ashx, 398
GLSL/.fp, 390
