Languages, Number or files
JavaScript, 5415192
HTML, 5053652
Objective-C, 3562418
Java, 2887346
Go, 2240620
C++, 1827468
C, 1566817
Smalltalk, 1493473
PHP, 1251849
Python, 1235568
TypeScript, 611188
CSS, 609680
Ruby, 496484
Scala, 443089
M, 429775
Shell, 327361
LLVM, 225909
Swift, 213469
Roff, 177372
Smali, 157696
Kotlin, 144988
SQL, 136864
Pascal, 135673
Perl6, 91434
Lua, 73689
Vue, 65011
Batchfile, 64648
Makefile, 60355
GLSL, 50563
Rust, 48231
JupyterNotebook, 47797
Groovy, 45313
Objective-C++, 42801
PowerShell, 41797
Vimscript, 41766
Assembly, 39815
Elixir, 39793
CoffeeScript, 38707
Fortran, 38401
Haskell, 38193
QMake, 34849
TeX, 33765
D, 33708
Dart, 32120
CMake, 31493
ActionScript, 30760
OCaml, 24973
Clojure, 24792
Scheme, 24107
Smarty, 23721
EmacsLisp, 23390
M4, 21838
Erlang, 21635
CommonLisp, 20264
F#, 19938
XSLT, 19383
Haxe, 19372
Nix, 18637
VisualBasic, 17406
HCL, 14260
Tcl, 12464
Gherkin, 11795
Coq, 11690
ASP, 11615
QML, 11610
PostScript, 11378
R, 5574
Ada, 5203
Yacc, 5121
Racket, 5115
Julia, 4629
Perl, 3886
WebAssembly, 3599
PLSQL, 3302
OpenEdgeABL, 3219
SAS, 2936
Lex, 2926
RPC, 2659
SQF, 2448
1CEnterprise, 2302
Brainfuck, 2183
F*, 2027
PureScript, 1987
SystemVerilog, 1917
AppleScript, 1493
Max, 1352
Objective-J, 1238
Dockerfile, 1157
MoonScript, 1077
Eagle, 939
RAML, 703
SMT, 623
C#, 379
Eiffel, 276
RMarkdown, 115
Verilog, 86
PLpgSQL, 34
Mercury, 24
Genshi, 19
SQLPL, 5
DM, 4
TSQL, 0
Jasmin, 0
